index,1902–1919 Pacific typhoon seasons,1902–1919 Pacific typhoon seasons
,Seasonal boundaries,Seasonal boundaries.1
0,First system formed,March 1917
1,Last system dissipated,November 1917
2,Seasonal statistics,Seasonal statistics
3,Total depressions,16[1]
4,Total fatalities,4000
5,Total damage,$50 million (1916 USD)
6,Related articles,Related articles
7,1917 Atlantic hurricane season 1910–19 Pacific hurricane seasons 1910s North Indian Ocean cyclone seasons,1917 Atlantic hurricane season 1910–19 Pacific hurricane seasons 1910s North Indian Ocean cyclone seasons
8,"Pacific typhoon seasons 1915, 1916, 1917, 1918, 1919","Pacific typhoon seasons 1915, 1916, 1917, 1918, 1919"
