index,1981–82 Australian region cyclone season,1981–82 Australian region cyclone season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,30 November 1981
3,Last system dissipated,16 May 1982
4,Strongest storm,Strongest storm
5,,
6,By maximum sustained winds,Dominic
7,• Maximum winds,215 km/h (130 mph) (10-minute sustained)
8,• Lowest pressure,950 hPa (mbar)
9,,
10,By central pressure,Bernie
11,• Maximum winds,185 km/h (115 mph) (10-minute sustained)
12,• Lowest pressure,945 hPa (mbar)
13,Seasonal statistics,Seasonal statistics
14,Tropical lows,"14, 1 unofficial"
15,Tropical cyclones,"14, 1 unofficial"
16,Severe tropical cyclones,4
17,Total fatalities,Unknown
18,Total damage,$14.5 million (1982 USD)
19,Related articles,Related articles
20,1981–82 South-West Indian Ocean cyclone season 1981–82 South Pacific cyclone season,1981–82 South-West Indian Ocean cyclone season 1981–82 South Pacific cyclone season
21,"Australian region tropical cyclone seasons 1979–80, 1980–81, 1981–82, 1982–83, 1983–84","Australian region tropical cyclone seasons 1979–80, 1980–81, 1981–82, 1982–83, 1983–84"
