index,1995–96 South-West Indian Ocean cyclone season,1995–96 South-West Indian Ocean cyclone season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,"November 19, 1995"
3,Last system dissipated,"May 4, 1996"
4,Strongest storm,Strongest storm
5,,
6,Name,Bonita
7,• Maximum winds,185 km/h (115 mph) (10-minute sustained)
8,• Lowest pressure,920 hPa (mbar)
9,Seasonal statistics,Seasonal statistics
10,Total depressions,13
11,Total storms,11
12,Tropical cyclones,6
13,Intense tropical cyclones,3
14,Total fatalities,109
15,Total damage,Unknown
16,Related articles,Related articles
17,1995–96 Australian region cyclone season 1995–96 South Pacific cyclone season,1995–96 Australian region cyclone season 1995–96 South Pacific cyclone season
18,"South-West Indian Ocean tropical cyclone seasons 1993–94, 1994–95, 1995–96, 1996–97, 1997–98","South-West Indian Ocean tropical cyclone seasons 1993–94, 1994–95, 1995–96, 1996–97, 1997–98"
