,2014 Pacific hurricane season,2014 Pacific hurricane season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,"May 22, 2014"
3,Last system dissipated,"November 5, 2014"
4,Strongest storm,Strongest storm
5,,
6,Name,Marie
7,• Maximum winds,160 mph (260 km/h) (1-minute sustained)
8,• Lowest pressure,918 mbar (hPa; 27.11 inHg)
9,Seasonal statistics,Seasonal statistics
10,Total depressions,23
11,Total storms,22
12,Hurricanes,"16 (record high, tied with 1990, 1992 and 2015)"
13,Major hurricanes (Cat. 3+),9
14,Total fatalities,50 total
15,Total damage,≥ $2.09 billion (2014 USD)
16,Related articles,Related articles
17,Timeline of the 2014 Pacific hurricane season 2014 Atlantic hurricane season 2014 Pacific typhoon season 2014 North Indian Ocean cyclone season,Timeline of the 2014 Pacific hurricane season 2014 Atlantic hurricane season 2014 Pacific typhoon season 2014 North Indian Ocean cyclone season
18,"Pacific hurricane seasons 2012, 2013, 2014, 2015, 2016","Pacific hurricane seasons 2012, 2013, 2014, 2015, 2016"
