index,Capital City,Temperature,Date,Source
0,Vienna,36.3ʡC (97.3ʡF),5 August,[226]
1,Zagreb,39.1ʡC (102.4ʡF),23 July,[227]
2,Copenhagen,31.9ʡC (89.4ʡF),4 August,[228]
3,Tallinn,32.9ʡC (91.2ʡF),19 August,[229]
4,Helsinki,29.5ʡC (85.1ʡF),27 June,[230]
5,Paris,40.3ʡC (104.5ʡF),19 July,[231]
6,Berlin,37.6ʡC (99.7ʡF),20 July,[232]
7,Dublin,33.0ʡC (91.4ʡF),18 July,[233]
8,Rome,41.2ʡC (106.2ʡF),28 June,[234]
9,Luxembourg City,36.3ʡC (97.3ʡF),19 July,[235]
10,Amsterdam,35.5ʡC (95.9ʡF),19 July,[236]
11,Oslo,28.5ʡC (83.3ʡF),14 August,[237]
12,Lisbon,39.8ʡC (103.6ʡF),13 July,[238]
13,Belgrade,39.0ʡC (102.2ʡF),23 July,[239]
14,Madrid,40.7ʡC (105.3ʡF),14 July,[240]
15,Stockholm,34.5ʡC (94.1ʡF),21 July,[241]
16,Bern,35.2ʡC (95.4ʡF),19 July and 4 August,[242]
17,London,40.2ʡC (104.4ʡF),19 July,[243]
