index,Costliest South Pacific Ocean tropical cyclones,Costliest South Pacific Ocean tropical cyclones,Costliest South Pacific Ocean tropical cyclones,Costliest South Pacific Ocean tropical cyclones
,Rank,Tropical cyclones,Season,Damage
0,1,2 Gabrielle,2022–23,$9.2 billion
1,2,TD 06F,2022–23,$1.43 billion
2,3,5 Winston,2015–16,$1.4 billion
3,4,5 Harold,2019–20,$768 million
4,5,5 Pam,2014–15,$543 million
5,6,4 Kevin,2022–23,$433 million
6,7,4 Lola,2023–24,$352 million
7,8,4 Evan,2012–13,$313 million
8,9,4 Gita,2017–18,$253 million
9,10,5 Niran,2020–21,$250 million
