index,State,Location,Amount,Ref.
0,Alabama,Harvest,3.5 in (8.9 cm),[142]
1,Arkansas,"Cabot, Jacksonville, Sherwood",8.0 in (20 cm),[108][142]
2,Connecticut,Norwalk,16.0 in (41 cm),[120]
3,Delaware,Woodside,17.2 in (44 cm),[120]
4,Georgia,Germany Valley,8.9 in (23 cm),[180]
5,Illinois,Shawneetown,5.5 in (14 cm),[142]
6,Indiana,Floyds Knobs,5.0 in (13 cm),[142]
7,Kansas,Barnes,10.0 in (25 cm),[142]
8,Kentucky,Booneville,22.0 in (56 cm),[142]
9,Louisiana,Haynesville,2.5 in (6.4 cm),[142]
10,Maryland,North Potomac,38.5 in (98 cm),[120]
11,Massachusetts,West Harwich,15.5 in (39 cm),[120]
12,Mississippi,"Myrtle, Oxford",2.0 in (5.1 cm),[142]
13,Missouri,East Prairie,3.0 in (7.6 cm),[142]
14,Nebraska,Hebron,9.0 in (23 cm),[142]
15,New Jersey,Morris Plains,33.0 in (84 cm),[120]
16,New York,Jackson Heights,34.0 in (86 cm),[120]
17,North Carolina,Mount Mitchell,33.0 in (84 cm)[nb 2],[179]
18,Ohio,Graysville,17.0 in (43 cm),[142]
19,Pennsylvania,Greencastle,38.3 in (97 cm),[142]
20,Rhode Island,Westerly,15.5 in (39 cm),[120]
21,South Carolina,Inman,7.5 in (19 cm),[142]
22,Tennessee,Jamestown,14.0 in (36 cm),[142]
23,Virginia,Gainesboro,38.0 in (97 cm),[181]
24,"Washington, D.C.",Dalecarlia Reservoir,26.0 in (66 cm),[181]
25,West Virginia,Glengary,42.0 in (107 cm),[120][182]
