,Country,Gust,Location,Date
0,Austria,142 km/h,Watzespitze,19 February
1,Belgium,144 km/h,Knokke-Heist,18 February
2,Czech Republic,164 km/h,Sněžka,19 February
3,Denmark,135 km/h,Gedser Odde,19 February
4,France,176 km/h,Cap Gris Nez,18 February
5,Germany,162 km/h,Leuchtturm Alte Weser,18 February
6,Guernsey,186 km/h,"Albecq, Castel",18 February
7,Ireland,172 km/h,Fastnet Lighthouse,17 February
8,Jersey,176 km/h,Trinity,18 February
9,Liechtenstein,126 km/h,Eschen,19 February
10,Lithuania,121 km/h,Klaipėda,19 February
11,Luxembourg,130 km/h,Wincrange,18 February
12,Netherlands,145 km/h,Cabauw,18 February
13,Norway,142 km/h,Loshavn,18 February
14,Poland,162 km/h,Łeba,19 February
15,Sweden,144 km/h,Skanör,19 February
16,Switzerland,148 km/h,Aletsch Glacier,19 February
17,United Kingdom,196 km/h,The Needles,18 February
