index,Precipitation,Precipitation,Precipitation,Storm,Location,Ref.
,Rank,mm,in,Storm,Location,Ref.
0,1,150.0,5.91,Bertha 2014,"Inverness, Highland",[12]
1,2,135.0,5.31,Charley 1986,"Abergwyngregyn, Gwynedd",[13]
2,3,130.0,5.12,Nadine 2012,"Ravensworth, North Yorkshire",[14]
3,4,76.0,2.99,Lili 1996,"Chale Bay, Isle of Wight",[15]
4,5,61.7,2.43,Zeta 2020,"Chipping, Lancashire",[16]
5,6,48.8,1.92,Grace 2009,"Capel Curig, Conwy",[17]
6,7,42.2,1.66,Gordon 2006,"Wainfleet All Saints, Lincolnshire",[18]
7,8,38.0,1.5,Gonzalo 2014,"Glenmoriston, Highland",[19]
8,9,31.0,1.22,Bill 2009,"Shap, Cumbria",[20]
9,10,30.0,1.18,Laura 2008,"Windermere, Cumbria",[21]
